	WARMTH	INTELLECT	EMOTIONAL STABILITY	ASSERTIVENESS	GREGARIOUSNESS	DUTIFULNESS	FRIENDLINESS	SENSITIVITY	DISTRUST	IMAGINATION	RESERVE	ANXIETY	COMPLEXITY	INTROVERSION	ORDERLINESS	EMOTIONALITY
WARMTH	2.3	2.6153846153846154	3.0	2.7	2.6	3.0	3.1	2.6	2.7	2.2	3.0	2.2	3.1	2.2	3.0	2.2
INTELLECT	2.2	2.6153846153846154	3.0	2.6	2.6	3.4	3.0	2.2	2.6	2.3	3.1	2.2	3.0	2.2	3.0	2.4
EMOTIONAL STABILITY																
ASSERTIVENESS	2.0	2.769230769230769	2.9	2.7	2.8	3.0	3.3	2.6	2.7	2.2	2.8	2.4	2.9	2.1	2.8	2.2
GREGARIOUSNESS	2.4	3.0	2.9	2.7	2.7	2.9	2.7	2.5	2.9	2.4	3.0	2.5	3.2	2.4	2.8	2.4
DUTIFULNESS	2.2	2.923076923076923	2.5	2.6	2.6	3.1	3.1	2.6	3.1	2.0	3.0	2.2	3.0	2.2	3.1	2.3
FRIENDLINESS	1.8	2.6923076923076925	2.7	2.7	2.7	3.1	3.0	2.8	2.8	1.9	2.5	2.4	2.9	2.2	2.8	2.2
SENSITIVITY	2.4	2.3846153846153846	2.6	2.2	2.4	2.8	3.1	2.3	2.5	2.7	3.0	2.1	3.0	2.5	3.1	2.7
DISTRUST	2.5	2.923076923076923	3.1	2.6	3.1	2.8	3.2	2.7	2.6	2.2	2.7	2.7	2.9	2.4	3.1	2.2
IMAGINATION	2.2	2.4615384615384617	3.0	2.7	2.7	2.9	3.1	2.5	2.7	2.3	3.2	2.2	3.2	2.4	3.0	2.2
RESERVE	2.1	2.6923076923076925	2.8	2.5	2.8	3.1	2.9	2.8	2.6	2.2	3.0	2.3	3.2	2.2	3.0	2.5
ANXIETY	2.1	2.5384615384615383	3.1	2.6	2.6	3.0	3.0	2.5	2.6	2.2	3.0	2.2	3.1	2.2	3.0	2.2
COMPLEXITY	2.3	2.6923076923076925	2.9	2.6	2.7	2.9	3.2	2.5	2.8	2.3	3.1	2.2	3.2	2.1	2.9	2.2
INTROVERSION	2.3	2.6923076923076925	3.1	2.8	2.6	3.2	2.8	2.7	2.9	2.3	3.2	2.4	3.1	2.6	2.9	2.3
ORDERLINESS	2.3	2.5384615384615383	3.1	2.6	2.6	3.3	3.0	2.6	2.4	2.2	3.0	2.3	3.3	2.1	3.0	2.3
EMOTIONALITY	2.3	2.5384615384615383	2.8	2.6	2.5	2.7	3.1	2.6	2.8	2.5	2.9	2.3	3.3	2.6	3.0	2.4
EMOTIONAL	2.4	3.3076923076923075	2.9	2.3	2.6	2.4	3.1	2.7	2.7	2.3	3.1	2.2	3.0	2.3	2.9	2.3
