	WARMTH	INTELLECT	EMOTIONAL STABILITY	ASSERTIVENESS	GREGARIOUSNESS	DUTIFULNESS	FRIENDLINESS	SENSITIVITY	DISTRUST	IMAGINATION	RESERVE	ANXIETY	COMPLEXITY	INTROVERSION	ORDERLINESS	EMOTIONALITY
WARMTH	3.2099999999999995	3.6213017751479293	4.0	3.6100000000000003	3.84	4.0	3.69	3.84	3.6100000000000003	3.3600000000000003	4.0	3.3600000000000003	3.69	3.3600000000000003	4.0	3.3600000000000003
INTELLECT	3.3600000000000003	3.6213017751479293	4.0	3.84	3.84	3.8400000000000007	4.0	3.3600000000000003	3.84	3.2099999999999995	3.69	3.3600000000000003	4.0	3.3600000000000003	4.0	3.04
EMOTIONAL STABILITY																
ASSERTIVENESS	1.8	2.331360946745562	2.49	3.6100000000000003	3.3600000000000003	3.4	3.0100000000000002	3.2400000000000007	3.0100000000000002	3.3600000000000003	3.3600000000000003	2.4400000000000004	3.09	2.29	3.3600000000000003	2.1599999999999997
GREGARIOUSNESS	2.44	2.1538461538461537	3.0900000000000003	2.41	3.6100000000000003	2.49	3.0100000000000002	2.25	3.09	2.44	2.2	2.25	2.76	1.8400000000000003	3.3600000000000003	1.24
DUTIFULNESS	3.3600000000000003	3.7633136094674553	3.45	3.84	3.84	3.69	3.69	3.2399999999999998	3.69	2.4	3.4	2.7600000000000002	4.0	3.3600000000000003	3.0899999999999994	3.2099999999999995
FRIENDLINESS	1.9600000000000004	3.443786982248521	2.41	3.0100000000000002	3.0100000000000002	3.09	2.8	2.76	2.1599999999999997	1.89	3.45	3.04	3.0900000000000003	2.1599999999999997	3.3600000000000003	1.5599999999999998
SENSITIVITY	3.04	3.1597633136094676	3.84	2.7600000000000002	2.44	2.7600000000000002	3.0899999999999994	2.6100000000000003	3.45	3.6100000000000003	3.4	2.29	2.8	2.85	3.69	3.6100000000000003
DISTRUST	2.25	1.9171597633136093	2.4899999999999998	2.0400000000000005	2.4899999999999998	2.1599999999999997	2.1599999999999997	1.81	1.44	1.5599999999999998	1.81	1.21	1.2900000000000003	3.04	1.89	2.1599999999999997
IMAGINATION	3.3600000000000003	3.479289940828402	4.0	3.6100000000000003	3.6100000000000003	3.0900000000000003	3.69	3.45	3.0100000000000002	3.2099999999999995	3.3600000000000003	3.3600000000000003	3.3600000000000003	3.04	3.4	3.3600000000000003
RESERVE	2.89	3.443786982248521	3.3600000000000003	2.85	3.3600000000000003	3.69	3.689999999999999	3.3600000000000003	3.2399999999999998	3.3600000000000003	3.4	3.2099999999999995	3.3600000000000003	2.1599999999999997	4.0	2.85
ANXIETY	2.89	3.7869822485207107	3.69	3.84	3.84	4.0	4.0	3.45	3.84	3.3600000000000003	4.0	3.3600000000000003	3.69	3.3600000000000003	4.0	3.3600000000000003
COMPLEXITY	3.2099999999999995	2.9822485207100593	3.6900000000000004	3.84	3.6100000000000003	3.0900000000000003	2.76	2.85	3.3600000000000003	2.0100000000000002	3.09	3.3600000000000003	3.3600000000000003	2.89	3.689999999999999	2.7600000000000002
INTROVERSION	2.6100000000000003	2.5207100591715976	2.4899999999999998	3.3600000000000003	2.6399999999999997	3.3600000000000003	2.7600000000000002	3.0100000000000002	2.4899999999999998	2.6100000000000003	2.76	2.4400000000000004	3.09	2.6399999999999997	3.09	1.41
ORDERLINESS	2.6100000000000003	3.3254437869822486	3.09	3.84	3.84	3.0100000000000002	2.8	3.2400000000000007	2.4400000000000004	3.3600000000000003	2.8	3.2099999999999995	3.0100000000000002	2.89	3.4	3.2099999999999995
EMOTIONALITY	2.6100000000000003	2.8639053254437874	3.3600000000000003	2.6400000000000006	2.85	3.0099999999999993	2.4899999999999998	2.6400000000000006	2.7600000000000002	2.85	3.0900000000000003	2.6100000000000003	2.41	2.6399999999999997	3.4	2.4400000000000004
EMOTIONAL	3.04	3.4437869822485205	3.69	2.6100000000000003	3.2400000000000007	3.04	3.69	3.6100000000000003	3.6100000000000003	3.2099999999999995	3.69	3.3600000000000003	4.0	2.6100000000000003	3.0900000000000003	3.2099999999999995
