,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,4.2,3.7333333333333334,3.533333333333333,3.3333333333333335,3.2,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.066666666666667,3.3333333333333335,2.6,3.066666666666667,3.6,2.8666666666666667,3.466666666666667,2.6666666666666665
INTELLECT,3.466666666666667,4.2,3.533333333333333,3.4,2.8666666666666667,3.4,3.2,3.2,3.0,3.466666666666667,2.6,2.7333333333333334,4.133333333333334,3.0,3.8,2.4
EMOTIONAL STABILITY,3.6666666666666665,3.933333333333333,3.6666666666666665,3.8,3.0,3.6,3.2,3.5555555555555554,2.6,3.2,2.8666666666666667,1.8,3.7333333333333334,3.4,3.6666666666666665,2.3333333333333335
ASSERTIVENESS,3.8,3.6,3.3333333333333335,4.2,3.4,3.4,3.6666666666666665,2.8666666666666667,3.2,3.066666666666667,2.0,2.2,3.6666666666666665,3.0,3.933333333333333,2.8
GREGARIOUSNESS,3.8333333333333335,3.466666666666667,3.4,3.6666666666666665,4.2,3.466666666666667,3.933333333333333,3.533333333333333,2.6,3.533333333333333,2.1333333333333333,2.3333333333333335,3.6,1.8,3.533333333333333,2.8
DUTIFULNESS,3.6666666666666665,3.7333333333333334,3.4,3.6,2.6666666666666665,4.2,2.933333333333333,3.5,3.0,2.8,3.0,3.0,3.6,3.2666666666666666,4.333333333333333,2.6666666666666665
FRIENDLINESS,4.0,3.6,3.466666666666667,3.1333333333333333,3.1333333333333333,3.6,3.6,3.3333333333333335,2.066666666666667,3.3333333333333335,2.6,2.8666666666666667,3.4,2.6,3.466666666666667,2.6
SENSITIVITY,3.933333333333333,3.7333333333333334,3.2666666666666666,3.2,3.0,3.466666666666667,3.0,4.888888888888889,3.1333333333333333,3.4,2.533333333333333,3.7333333333333334,3.6,3.466666666666667,3.75,2.8
DISTRUST,2.3333333333333335,3.8,2.8666666666666667,3.6666666666666665,2.466666666666667,3.2666666666666666,2.7333333333333334,2.7333333333333334,4.2,2.933333333333333,3.933333333333333,3.6,3.2666666666666666,3.7333333333333334,3.8666666666666667,3.6
IMAGINATION,3.7333333333333334,3.6666666666666665,3.2666666666666666,3.466666666666667,3.1333333333333333,3.2,2.933333333333333,3.6,3.066666666666667,4.2,2.75,3.0,4.0,3.4,3.2666666666666666,3.0
RESERVE,2.6666666666666665,3.8666666666666667,3.3333333333333335,2.8,2.2,3.533333333333333,2.8,3.066666666666667,3.5833333333333335,3.0,4.2,3.0,3.0,3.466666666666667,3.466666666666667,2.8
ANXIETY,2.6666666666666665,3.3333333333333335,2.6666666666666665,2.466666666666667,2.466666666666667,3.4,2.7333333333333334,3.066666666666667,3.4,2.7333333333333334,3.4,4.2,3.6,3.533333333333333,4.066666666666666,3.4
COMPLEXITY,3.466666666666667,4.133333333333334,3.2666666666666666,3.2666666666666666,2.8666666666666667,3.2666666666666666,3.2,3.4,3.0,3.6666666666666665,3.2,3.0,4.2,3.466666666666667,3.8,2.8666666666666667
INTROVERSION,2.933333333333333,3.933333333333333,2.933333333333333,3.066666666666667,2.6,3.6,2.8,3.2666666666666666,3.2666666666666666,3.6,3.8666666666666667,3.3333333333333335,3.466666666666667,4.0,3.533333333333333,3.2
ORDERLINESS,3.2666666666666666,3.8,3.3333333333333335,3.7333333333333334,2.4,3.8666666666666667,3.066666666666667,3.2666666666666666,3.3333333333333335,2.7333333333333334,3.2666666666666666,3.3333333333333335,3.0,3.4,4.2,3.0
EMOTIONALITY,3.8666666666666667,3.466666666666667,3.066666666666667,3.6,3.2666666666666666,3.533333333333333,3.3333333333333335,3.466666666666667,3.1333333333333333,3.7333333333333334,2.3333333333333335,3.6,3.8,3.6666666666666665,3.6,3.7333333333333334
