	WARMTH	INTELLECT	EMOTIONAL STABILITY	ASSERTIVENESS	GREGARIOUSNESS	DUTIFULNESS	FRIENDLINESS	SENSITIVITY	DISTRUST	IMAGINATION	RESERVE	ANXIETY	COMPLEXITY	INTROVERSION	ORDERLINESS	EMOTIONALITY
WARMTH	1.89	2.7928994082840237	2.49	1.65	2.29	2.6399999999999997	2.0100000000000002	1.41	3.2400000000000007	2.1599999999999997	2.41	1.44	1.89	2.8	3.0900000000000003	2.04
INTELLECT	3.2400000000000007	3.3017751479289945	2.4899999999999998	2.41	2.41	2.0100000000000002	1.8900000000000001	3.0100000000000002	2.04	3.4	2.41	2.04	1.8400000000000003	2.4899999999999998	1.09	2.4400000000000004
EMOTIONAL STABILITY																
ASSERTIVENESS	2.6400000000000006	3.0177514792899407	2.76	3.6100000000000003	3.0100000000000002	2.85	2.41	2.25	2.7600000000000002	3.6100000000000003	3.84	2.76	2.41	3.3600000000000003	1.8400000000000003	3.0100000000000002
GREGARIOUSNESS	3.69	3.514792899408284	3.2400000000000007	3.3600000000000003	3.3600000000000003	3.2400000000000007	3.8400000000000007	2.85	1.8	2.85	3.2399999999999998	3.45	3.3600000000000003	3.2099999999999995	3.3600000000000003	3.2399999999999998
DUTIFULNESS	2.6400000000000006	3.076923076923077	2.25	2.0100000000000002	1.56	2.4400000000000004	2.41	2.41	1.65	2.4899999999999998	2.0100000000000002	2.41	3.3599999999999994	2.0099999999999993	3.3600000000000003	2.7600000000000002
FRIENDLINESS	3.09	3.159763313609467	3.69	3.689999999999999	3.3599999999999994	2.560000000000001	2.4400000000000004	2.76	3.3599999999999994	2.49	3.0100000000000002	3.21	3.0100000000000002	3.09	2.7600000000000002	3.3599999999999994
SENSITIVITY	1.8	2.982248520710059	2.49	1.36	3.3600000000000003	1.8400000000000003	3.4	1.81	1.8	2.76	3.0100000000000002	2.16	2.76	2.0099999999999993	3.0900000000000003	2.8
DISTRUST	2.16	2.828402366863905	2.49	3.3600000000000003	2.4400000000000004	3.21	2.4899999999999998	2.49	2.4899999999999998	2.6399999999999997	3.09	2.4400000000000004	2.8	2.4400000000000004	3.21	2.04
IMAGINATION	1.8	3.3254437869822486	2.8	3.0100000000000002	2.4899999999999998	3.21	3.69	3.09	2.7600000000000002	1.6900000000000002	2.41	0.20999999999999996	3.4	2.85	3.2400000000000007	3.3600000000000003
RESERVE	2.85	2.3668639053254434	3.0100000000000002	2.49	2.29	2.49	3.09	1.41	2.41	2.2	2.4400000000000004	2.6099999999999994	2.1599999999999997	3.0100000000000002	2.44	2.76
ANXIETY	1.65	1.4792899408284026	1.89	1.05	1.5599999999999998	1.56	1.2900000000000003	1.29	1.56	1.44	1.2900000000000003	1.24	1.6	1.89	1.6	1.8399999999999999
COMPLEXITY	1.44	1.1715976331360947	1.2900000000000003	0.9600000000000002	1.24	1.2900000000000003	1.56	0.9600000000000002	1.2900000000000003	1.24	1.2900000000000003	0.8400000000000001	1.0	2.0400000000000005	1.6	1.8900000000000001
INTROVERSION	3.8400000000000007	3.0532544378698225	3.69	3.3600000000000003	2.4400000000000004	2.6099999999999994	2.85	2.4899999999999998	3.0100000000000002	2.85	3.4	2.4899999999999998	2.04	3.0100000000000002	2.76	2.7600000000000002
ORDERLINESS	2.2	2.3668639053254434	3.0100000000000002	2.1599999999999997	1.8	2.6400000000000006	3.3600000000000003	2.16	1.24	2.25	2.6399999999999997	2.4899999999999998	2.4099999999999993	2.7600000000000002	2.85	2.6399999999999997
EMOTIONALITY	3.69	3.5147928994082847	2.7600000000000002	3.6100000000000003	3.4	2.25	3.2400000000000007	3.84	3.4	3.45	1.89	3.84	2.01	3.45	3.09	3.0100000000000002
EMOTIONAL	1.81	2.3786982248520707	2.04	1.6900000000000002	0.7600000000000001	2.4	2.76	3.0100000000000002	2.16	1.56	1.44	1.6900000000000002	2.85	2.6399999999999997	2.6399999999999997	2.76
