,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,4.466666666666667,4.333333333333333,4.533333333333333,3.4,2.8,4.066666666666666,3.8666666666666667,3.8666666666666667,2.1333333333333333,4.066666666666666,2.466666666666667,4.2,3.7333333333333334,2.8,3.8,2.066666666666667
INTELLECT,3.933333333333333,4.866666666666666,4.4,4.4,2.2666666666666666,4.2,4.066666666666666,4.4,3.8,4.266666666666667,3.7333333333333334,3.7333333333333334,4.733333333333333,4.066666666666666,3.933333333333333,3.066666666666667
EMOTIONAL STABILITY,4.2,4.866666666666666,5.0,4.533333333333333,3.2,4.6,4.0,3.2666666666666666,2.8666666666666667,3.8666666666666667,3.6666666666666665,2.6666666666666665,4.2,4.066666666666666,4.4,1.9333333333333333
ASSERTIVENESS,4.066666666666666,4.333333333333333,4.4,4.733333333333333,3.533333333333333,4.533333333333333,4.066666666666666,2.933333333333333,3.4,3.8666666666666667,2.2666666666666666,3.6666666666666665,3.933333333333333,3.8666666666666667,4.0,2.8
GREGARIOUSNESS,4.466666666666667,4.4,3.8,4.4,3.933333333333333,4.6,3.933333333333333,3.7333333333333334,2.8,4.333333333333333,1.8666666666666667,3.8,4.333333333333333,1.7333333333333334,3.8666666666666667,2.6666666666666665
DUTIFULNESS,4.0,4.066666666666666,4.266666666666667,4.2,2.8666666666666667,4.733333333333333,3.7333333333333334,3.8,3.2,3.4,3.933333333333333,4.266666666666667,3.8666666666666667,3.933333333333333,4.4,2.8
FRIENDLINESS,4.733333333333333,4.333333333333333,4.066666666666666,3.6,4.133333333333334,4.333333333333333,4.2,3.8666666666666667,2.533333333333333,3.8,2.7333333333333334,3.8,3.8666666666666667,3.066666666666667,3.8666666666666667,2.4
SENSITIVITY,4.133333333333334,4.133333333333334,2.933333333333333,3.3333333333333335,2.8666666666666667,4.133333333333334,3.3333333333333335,4.733333333333333,3.6,3.933333333333333,3.3333333333333335,4.2,4.2,4.466666666666667,3.6666666666666665,3.4
DISTRUST,3.066666666666667,4.4,2.6,4.333333333333333,2.466666666666667,4.066666666666666,2.6,3.2666666666666666,4.533333333333333,3.466666666666667,4.533333333333333,4.733333333333333,4.2,4.8,4.066666666666666,3.933333333333333
IMAGINATION,4.333333333333333,4.066666666666666,4.4,3.8666666666666667,3.6666666666666665,3.933333333333333,3.466666666666667,3.933333333333333,3.7333333333333334,4.733333333333333,3.2666666666666666,3.8666666666666667,4.266666666666667,4.533333333333333,1.8666666666666667,3.2666666666666666
RESERVE,2.933333333333333,4.4,4.0,3.2,1.7333333333333334,4.533333333333333,2.2,3.533333333333333,4.266666666666667,4.066666666666666,4.933333333333334,4.133333333333334,4.2,4.6,4.2,2.6666666666666665
ANXIETY,3.466666666666667,4.466666666666667,2.4,4.266666666666667,2.066666666666667,4.266666666666667,2.7333333333333334,4.0,4.4,4.2,4.6,4.933333333333334,4.066666666666666,4.266666666666667,3.8,3.8
COMPLEXITY,4.6,4.666666666666667,4.2,4.133333333333334,3.533333333333333,4.6,3.1333333333333333,3.8,4.066666666666666,4.6,4.133333333333334,4.2,5.0,4.8,4.2,4.333333333333333
INTROVERSION,2.6,4.333333333333333,4.066666666666666,3.3333333333333335,1.8666666666666667,4.533333333333333,2.6,3.8666666666666667,4.133333333333334,4.333333333333333,4.733333333333333,4.333333333333333,3.8,4.8,4.4,3.3333333333333335
ORDERLINESS,4.0,4.0,4.266666666666667,4.0,2.6,4.466666666666667,3.6666666666666665,3.466666666666667,3.6666666666666665,2.6666666666666665,4.133333333333334,4.0,3.1333333333333333,4.333333333333333,4.866666666666666,3.0
EMOTIONALITY,4.266666666666667,4.266666666666667,2.6,4.533333333333333,3.466666666666667,3.8666666666666667,4.0,3.6666666666666665,3.7333333333333334,4.733333333333333,1.8666666666666667,4.4,4.266666666666667,3.933333333333333,3.7333333333333334,3.8666666666666667
