,WARMTH,INTELLECT,EMOTIONAL  STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,2.9,2.769230769,2.9,3.5,2.1,3.4,2.3,2.3,2.6,2.8,3.3,2.6,3.1,3.0,2.9,2.6
INTELLECT,3.4,3.076923077,3.1,3.3,2.7,2.3,2.9,2.7,3.4,3.0,3.3,3.4,3.6,2.9,3.9,3.6
EMOTIONAL STABILITY,2.7,3.076923077,3.4,3.9,1.8,2.0,2.8,2.7,2.8,2.8,2.6,2.1,3.5,3.4,2.6,3.2
ASSERTIVENESS,2.6,3.538461538,3.8,2.7,3.3,3.5,2.7,3.5,2.8,2.7,3.4,3.2,2.7,2.8,3.6,2.7
GREGARIOUSNESS,3.1,2.846153846,2.6,3.2,3.2,2.6,2.6,2.5,2.0,2.5,3.4,3.5,3.8,2.3,2.8,3.4
DUTIFULNESS,2.6,3.0,2.5,2.7,2.8,3.6,3.3,3.3,2.5,2.9,2.3,3.3,3.8,2.3,2.8,2.8
FRIENDLINESS,3.1,3.615384615,2.9,2.9,2.2,1.8,3.6,3.8,3.8,4.1,2.7,3.7,3.3,2.9,2.2,3.8
SENSITIVITY,2.0,2.692307692,2.9,1.8,2.8,3.6,3.0,3.3,2.0,3.2,3.3,2.8,3.2,2.3,2.9,3.0
DISTRUST,2.8,2.307692308,2.9,3.2,2.4,3.7,2.9,2.9,1.9,2.6,2.9,2.4,3.0,2.4,3.7,2.6
IMAGINATION,2.0,2.538461538,3.0,3.3,1.9,3.7,2.9,3.1,2.8,2.1,3.3,1.3,3.0,2.5,2.6,3.2
RESERVE,3.5,2.307692308,3.3,2.9,2.1,2.9,2.9,1.7,3.3,3.0,3.6,3.7,3.8,2.7,3.6,3.2
ANXIETY,2.5,2.538461538,3.1,2.5,2.8,3.2,2.9,2.9,2.8,2.6,2.9,2.4,3.0,2.9,3.0,2.4
COMPLEXITY,2.6,2.461538462,2.9,2.8,2.4,2.9,3.2,2.8,2.9,2.4,3.1,2.6,3.0,2.6,3.0,2.9
INTROVERSION,3.4,2.846153846,3.1,3.2,2.4,2.3,2.5,3.1,2.7,3.5,3.0,2.9,2.6,2.7,3.2,2.8
ORDERLINESS,3.0,3.692307692,3.3,2.8,4.0,2.6,2.8,2.8,2.4,3.5,3.4,2.9,2.7,2.8,2.5,3.4
EMOTIONALITY,3.1,2.846153846,2.2,2.7,3.0,2.5,2.6,3.4,3.0,3.5,1.9,3.4,1.7,3.5,2.9,3.3
