,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,0.43,-1.00,-0.50,-1.00,-0.30,-1.03,-0.33,-0.43,-2.27,-0.90,-1.53,-0.73,-1.20,-0.70,-1.03,-0.87
INTELLECT,-0.90,0.40,-0.63,-1.07,-0.63,-1.03,-0.60,-0.23,-1.13,-0.57,-0.67,-1.20,-0.60,-0.57,-1.10,-0.67
EMOTIONAL STABILITY,-0.90,-0.93,1.17,-1.00,-0.37,-1.10,-0.60,-0.50,-1.27,-0.90,-0.67,-1.80,-1.13,-0.50,-0.97,-1.07
ASSERTIVENESS,-0.77,-1.07,-0.57,0.87,-0.30,-0.97,-0.47,-0.50,-1.20,-0.83,-1.20,-1.27,-1.20,-0.50,-1.10,-0.53
GREGARIOUSNESS,-0.43,-1.20,-0.77,-0.87,1.43,-0.97,-0.27,-0.30,-2.07,-0.90,-2.07,-1.07,-0.87,-1.50,-1.10,-0.53
DUTIFULNESS,-1.03,-1.00,-0.70,-1.13,-0.50,0.50,-0.60,-0.50,-1.27,-0.90,-0.60,-0.80,-1.20,-0.63,-0.83,-0.60
FRIENDLINESS,0.03,-1.00,-0.50,-1.00,-0.30,-0.90,0.20,-0.30,-1.87,-0.90,-1.67,-0.73,-1.00,-0.90,-0.97,-0.80
SENSITIVITY,-0.30,-1.00,-0.83,-1.07,-0.43,-1.03,-0.53,1.10,-1.47,-0.90,-0.67,-0.80,-1.07,-0.43,-1.03,-0.40
DISTRUST,-1.23,-0.67,-0.77,-0.87,-0.57,-0.77,-1.13,-0.43,1.00,-0.90,-0.20,-0.80,-0.93,0.10,-1.10,-0.27
IMAGINATION,-0.97,-1.07,-0.50,-1.00,-0.37,-1.03,-0.60,-0.50,-1.07,0.70,-0.93,-0.87,-0.87,-0.50,-1.03,-0.67
RESERVE,-1.37,-0.60,-0.50,-1.20,-1.03,-1.03,-1.40,-0.57,-1.07,-0.63,1.40,-0.87,-1.13,-0.23,-0.97,-0.73
ANXIETY,-0.77,-0.80,-0.97,-1.20,0.17,-1.23,-0.53,-0.57,-0.87,-0.70,1.27,-0.73,-1.13,-0.37,-1.03,-0.53
COMPLEXITY,-0.70,-0.60,-0.57,-1.07,-0.43,-1.03,-0.60,-0.50,-1.13,-0.63,-0.73,-1.00,0.40,-0.50,-1.17,-1.00
INTROVERSION,-1.23,-0.40,-0.70,-1.27,-1.17,-0.97,-1.20,-0.63,-1.00,-0.57,0.00,-0.80,-1.00,1.50,-1.10,-0.47
ORDERLINESS,-0.83,-0.80,-0.70,-1.00,-0.70,-0.83,-0.60,-0.50,-1.13,-0.97,-0.53,-0.80,-1.40,-0.37,0.77,-0.60
EMOTIONALITY,-0.70,-1.13,-0.83,-1.00,-0.30,-1.10,-0.53,-0.43,-1.13,-0.70,-1.27,-0.73,-0.93,-0.43,-1.03,0.93
