	WARMTH	INTELLECT	EMOTIONAL STABILITY	ASSERTIVENESS	GREGARIOUSNESS	DUTIFULNESS	FRIENDLINESS	SENSITIVITY	DISTRUST	IMAGINATION	RESERVE	ANXIETY	COMPLEXITY	INTROVERSION	ORDERLINESS	EMOTIONALITY
WARMTH	0.0	1.8698224852071006	1.21	1.21	1.29	1.49	1.41	2.41	1.4099999999999997	0.76	1.41	2.0400000000000005	2.25	0.69	1.01	0.24000000000000005
INTELLECT	2.29	1.1360946745562133	1.81	2.2	1.89	2.76	1.89	2.2399999999999998	2.4	1.6	1.2900000000000003	1.65	2.29	1.44	2.0099999999999993	1.5599999999999998
EMOTIONAL STABILITY																
ASSERTIVENESS	1.56	1.9053254437869822	2.16	0.0	2.0	1.8	1.41	3.45	1.8	1.0900000000000003	1.6400000000000001	1.0399999999999998	1.56	0.9600000000000002	1.8900000000000001	1.04
GREGARIOUSNESS	1.41	1.5147928994082842	1.6900000000000002	2.29	0.0	1.45	0.0	0.8099999999999999	1.7600000000000002	1.01	0.8100000000000002	0.69	1.2899999999999998	0.0	0.5599999999999999	1.44
DUTIFULNESS	1.5599999999999998	2.840236686390533	1.2900000000000003	1.65	2.1599999999999997	2.29	1.6400000000000001	3.2400000000000007	3.0	1.24	2.7600000000000002	1.8900000000000001	2.49	2.4	0.8400000000000001	1.8399999999999999
FRIENDLINESS	1.8	1.668639053254438	1.2900000000000003	0.9600000000000002	1.89	1.8900000000000001	1.56	2.3600000000000003	1.8399999999999999	1.8399999999999999	1.6	1.41	1.56	0.8099999999999999	1.6	1.2
SENSITIVITY	0.09	2.2840236686390534	1.8900000000000001	2.16	1.21	4.0	1.6	3.0	1.44	2.1599999999999997	1.21	1.56	2.0900000000000003	0.64	2.7600000000000002	1.56
DISTRUST	1.45	2.177514792899408	1.2	1.81	1.16	2.41	0.41	1.6	2.16	2.2400000000000007	1.36	1.65	2.29	0.8399999999999999	1.09	1.5599999999999998
IMAGINATION	2.25	2.1538461538461537	2.0900000000000003	2.16	1.5599999999999998	1.56	1.49	2.0	2.04	0.8099999999999999	1.49	1.41	1.56	1.05	0.89	1.44
RESERVE	0.9600000000000002	1.4792899408284017	1.0	0.9600000000000002	1.6900000000000002	1.36	1.8	1.56	1.49	1.2900000000000003	1.2899999999999998	0.8400000000000001	1.2900000000000003	1.6900000000000002	0.89	1.05
ANXIETY	2.04	1.3136094674556213	1.81	0.9600000000000002	0.9600000000000002	1.8900000000000001	1.21	2.4099999999999993	1.5599999999999998	0.8400000000000001	1.21	1.21	2.04	0.65	1.21	0.8400000000000001
COMPLEXITY	2.29	1.9408284023668636	3.69	2.45	1.69	3.4	2.2400000000000007	2.4	2.1599999999999997	2.1599999999999997	1.81	2.4400000000000004	2.29	2.6100000000000003	3.3600000000000003	1.5599999999999998
INTROVERSION	2.2400000000000007	2.0	2.24	2.36	1.0399999999999998	3.56	1.44	1.56	2.84	0.6399999999999999	1.8	2.4099999999999993	1.56	0.0	2.5599999999999996	1.05
ORDERLINESS	1.4400000000000002	1.9171597633136093	1.0	1.6	1.7599999999999998	1.6400000000000001	1.81	1.04	1.81	1.09	1.4900000000000002	1.05	1.81	1.41	1.6900000000000002	1.21
EMOTIONALITY	2.25	1.3609467455621302	1.65	1.56	1.04	2.6399999999999997	1.2900000000000003	3.45	1.21	1.89	1.29	1.81	1.44	0.8400000000000001	1.6	1.44
EMOTIONAL	2.3600000000000003	2.5207100591715967	0.0	1.4	2.0900000000000003	3.3600000000000003	3.05	2.4400000000000004	2.2	1.41	2.2	0.16000000000000003	3.29	3.05	1.6	0.24000000000000005
